Marca temporal,¿Qué tipo de dispositivos/consolas usas para jugar?,¿Cuál es el rango de precios de los juegos que generalmente compras/juegas?,¿Cuáles son los géneros de juegos que más juegas?,¿Cuántas horas dedicas a la semana para jugar?
2025-05-03 20:52:09,Otros,$40k-59k,"Acción, Aventura, Estrategia, Rol, Survival",4 supongo depende del dia
2025-05-03 20:41:19,Otros,Menos de $30k,"Acción, Aventura, Horror",5
2025-05-03 20:30:56,"Nintendo Switch, Otros",$30k-39k,"Acción, Aventura, Carreras",15
2025-05-03 03:12:26,"Play Station, Otros",Menos de $30k,"Acción, Aventura, Rol, Fantasía, MMORPG",18
2025-05-02 17:42:07,"Play Station, Otros",Menos de $30k,"Aventura, Estrategia, Rol, Shooters",6
2025-05-02 13:43:00,Otros,Menos de $30k,Deportes,2
2025-05-02 04:24:57,Otros,Menos de $30k,"Acción, Aventura, Shooters, Horror, Survival, Rompecabezas",18
2025-05-02 01:18:05,Otros,Menos de $30k,Acción,10
2025-05-02 01:03:31,Otros,Menos de $30k,"Acción, Deportes, Shooters, MMORPG",8
2025-05-02 00:04:14,Xbox,$40k-59k,"Carreras, Estrategia, Rol, Deportes",100
2025-05-03 18:07:13,Xbox,Menos de $30k,"Acción, Estrategia, Rol, Shooters",28
2025-05-03 18:35:56,Xbox,$40k-59k,"Acción, Fantasía, Survival, Simulación",20
2025-05-03 19:46:57,Otros,Menos de $30k,"Acción, Aventura, Carreras, Estrategia, Rol, Deportes, Fantasía, Shooters, Horror, Survival, Rompecabezas, MMORPG, Simulación",40
2025-05-03 20:48:35,"Play Station, Nintendo Switch, Otros",$40k-59k,"Acción, Aventura, Estrategia, Rol, Fantasía, Rompecabezas, MMORPG, Simulación",20
2025-05-03 21:40:03,Nintendo Switch,Menos de $30k,Carreras,0
2025-05-03 22:47:58,Otros,$40k-59k,"Acción, Carreras, Estrategia, Shooters, Simulación",5
2025-05-03 22:56:31,Otros,Menos de $30k,"Acción, Aventura, Carreras, Deportes, Shooters, Horror, Survival, Simulación",2
2025-05-03 22:58:02,"Play Station, Otros",$0,"Acción, Aventura, Estrategia, Fantasía, Shooters, Horror, Survival, MMORPG, Simulación",4
2025-05-03 23:25:09,Otros,$0,"Fantasía, Horror, Rompecabezas, MMORPG, Simulación",Varía mucho. Solo juego hasta que me aburro
2025-05-03 23:25:30,"Nintendo Switch, Otros",Menos de $30k,"Acción, Estrategia, Shooters, Simulación",30 aprox
2025-05-03 23:37:11,"Xbox, Otros",$40k-59k,"Acción, Shooters, Horror, Simulación",28
2025-05-04 01:07:47,Otros,Menos de $30k,"Aventura, Estrategia, Survival, Simulación",2 a 6 dependiendo
2025-05-04 08:55:35,Otros,Menos de $30k,Horror,5
2025-05-04 14:03:23,Otros,Menos de $30k,"Aventura, Estrategia, Fantasía",5
